customer_id,treatment,converted,value,uplift_score
ec5019916f,0,1,1444,0.01836
cc721e181e,0,0,3918,0.04212
55c7a1ba1f,1,1,6597,-0.02324
f6b5016088,1,1,5118,0.03134
6291df7353,0,0,1252,0.03427
adff9f3caa,0,1,8412,0.05301
6ef6bfc561,0,1,9690,0.01671
cb79f17b21,0,1,19015,0.03566
dd8c98b6c6,1,0,55,0.01495
d661111208,1,1,6259,0.03219
b70ec28599,1,1,20268,0.00696
363f9578a7,0,1,3641,0.02496
56786f76f1,0,0,2829,0.05959
aa3d635f23,1,1,7134,0.00369
68d772704c,0,0,18573,0.02196
ec297b6466,0,1,5149,0.03709
4895a29893,1,1,6511,-0.04033
24274f59fb,1,1,4994,-0.00381
e17d808beb,0,1,4743,0.03801
a5803211d1,0,1,25280,0.01204
0a395ed0bb,1,1,11391,-0.00737
c46f499671,1,1,111357,0.00633
33dac94b7d,1,1,14998,0.00094
d202f9d7bf,0,1,22115,0.0032
a4255f3853,1,0,8365,0.0273
c371d18dee,0,1,7770,0.08616
d4c60a5baf,1,1,10083,0.02288
9b3bbab029,0,1,2739,0.00462
6213a3cb25,1,1,2711,0.04238
c78533f6da,0,0,8252,0.04649
fdfc2724bd,0,1,9214,0.02304
f8ccb5ecf0,1,0,6350,0.02511
bbb3b6cf3a,1,1,9959,0.02341
7ea2b4e1cc,0,0,6429,0.0422
f9b9f8dbe1,1,1,14369,0.00414
fb4041381a,1,1,12939,3e-05
4a296fcbec,0,1,3543,0.00014
0824c9b304,1,1,17009,0.00482
579104fa2d,0,0,7106,0.014
f9a049b255,0,0,9786,0.00872
8a930c1906,0,1,12769,0.02216
2c64c81834,0,0,384,0.0265
6a3016d621,0,0,4697,0.03133
ac70f1f987,0,1,10143,0.00501
ff4033808e,0,1,15030,0.00729
af7c97d318,0,1,14433,0.0006
c639e47b67,0,1,5720,0.02415
f50f9a3dc2,0,1,18544,0.01637
962401c10d,1,1,4158,0.00297
594769ff8a,1,1,18153,0.00288
8190a72b0a,1,0,3209,0.03355
da5d58097c,0,1,3690,0.05461
c49dde38ae,0,0,7077,0.00114
78b140b418,1,1,4057,0.12223
25b46b0a17,1,0,10706,0.00618
f7ab03da58,1,1,4391,0.00205
25a13462c3,0,1,5709,0.00114
abede8788a,1,1,6839,0.03477
79a583d5c2,0,0,8288,0.01355
d9d5dee610,0,1,15460,0.00882
b2576d6121,1,1,5967,0.05167
2f60a0cf14,1,1,30126,0.01421
8f732a97d8,1,0,2402,0.00263
2191e0b7a6,0,1,41228,-0.00274
cd510a2052,1,1,1858,0.0848
4d7cb195d0,1,0,4593,0.08481
62e7b992a8,1,1,11389,0.0026
f0e07fb94d,1,0,2180,-0.01334
dd175af8b0,0,1,17919,-0.00072
4e04970799,0,1,15833,0.01608
543b344817,1,1,30454,0.00127
251efaae8e,0,1,7617,0.04035
3e018450fd,0,1,1801,0.03666
0853ac4883,1,0,1547,0.05052
9344e66cd2,0,1,12049,0.03166
bdc7289a98,0,0,2864,-0.00537
64f925263f,0,0,1001,0.10573
b56d698158,0,1,17229,0.00413
a4884102c9,1,1,19055,0.01234
7d15724dfd,0,1,5908,0.0045
f9024c4518,1,1,2553,0.00267
2a8f1512aa,1,0,2928,0.02332
4280c5bd94,1,1,6973,0.02829
02b7c00b74,1,1,7817,0.03487
02db919311,0,1,12729,0.01933
060b15243f,1,1,2513,0.03253
0a91de6fba,0,1,8088,0.02004
4c4a293925,1,1,3764,0.02678
874bd751e3,0,1,8413,0.03204
0e093dd0d1,1,1,10297,0.027
ac975a6264,0,1,21758,0.00186
b95d1d3186,1,1,25142,0.00511
7af69c6a49,1,1,4993,0.00706
9edfe1ac68,0,1,6324,0.02187
49e76f11dd,1,1,4769,0.02701
3895abf12d,0,1,2815,0.02162
e62c93ff68,1,0,2767,-0.00279
f3149ecc77,1,1,47678,0.01045
b7a0e9f70b,1,1,23392,0.0175
b8e3652622,1,0,11626,0.0026
c07d3e969b,0,1,5745,0.04226
91ea93eb4a,1,1,843,0.07574
a521191cf8,0,0,1811,0.01892
8d360bf756,1,0,3476,-0.00734
b37ad3fca7,0,1,2406,-0.00632
7d25a54da2,0,1,9161,0.0072
a6056e27f6,1,1,9474,0.01112
a7289fb310,1,0,6747,0.02033
45e758bd67,0,0,4740,0.02141
8a0e463a19,0,0,1764,-0.03272
02a2699a4b,1,0,3909,0.00229
2975b6c62e,0,0,40038,0.03982
698e9af364,1,0,3092,0.14423
063011ae6e,1,0,1795,0.0317
acd1946787,0,0,10726,0.03587
c65e20a35e,1,0,6819,0.01341
879131a097,0,0,4167,0.09011
6d52742007,0,1,20619,0.01847
35147c076b,1,0,5238,0.04621
0d940be487,1,0,2575,0.05234
aa17e809b8,0,1,1887,0.00755
f5ee8f8d01,0,0,2555,0.03509
ff217986f8,1,0,1341,0.03403
14de0e1866,0,0,1695,0.0047
ff1045771c,1,1,2631,0.01917
ec3eee499e,1,0,45130,0.01428
56331e669c,1,1,8476,0.03216
d0ddf038ab,0,1,11325,0.00854
090042ea83,1,1,14171,0.00644
34330d2be9,1,1,4107,0.02927
01d6523380,1,0,2979,0.04609
a42d834da6,1,1,978,0.15987
cb60ad6dd2,0,1,17890,0.01019
2427d82777,1,1,18800,0.01076
5b79f5830e,0,1,2870,0.04708
8135962502,0,0,6133,-0.00069
9cc6015de7,1,1,64874,0.0138
613a11c50a,1,1,6801,0.02853
4c63af43b7,0,0,3293,-0.00999
8f869c08c7,0,1,11135,0.01321
4c5f826c86,1,1,6853,0.03227
4c65eebd4c,1,1,4801,0.0464
c9c1f299a5,0,0,22990,0.04805
b78b802745,0,0,22547,0.03153
4075efddb4,1,1,10164,0.00256
e247528ef9,1,1,12665,0.0065
