CustomerID,Recency,Frequency,Monetary,AvgOrderValue,FirstPurchase,LastPurchase,Country
18102,1,145,608821.65,4198.77,2009-12-01,2011-12-09,United Kingdom
14646,2,151,528602.52,3500.68,2009-12-02,2011-12-08,Netherlands
14156,10,156,313946.37,2012.48,2009-12-01,2011-11-30,EIRE
14911,2,398,295972.63,743.65,2009-12-01,2011-12-08,EIRE
17450,9,51,246973.09,4842.61,2010-09-27,2011-12-01,United Kingdom
13694,4,143,196482.81,1374.01,2009-12-04,2011-12-06,United Kingdom
17511,3,60,175603.55,2926.73,2009-12-02,2011-12-07,United Kingdom
16446,1,2,168472.5,84236.25,2011-05-18,2011-12-09,United Kingdom
16684,5,55,147142.77,2675.32,2009-12-07,2011-12-05,United Kingdom
12415,25,28,144458.37,5159.23,2010-06-30,2011-11-15,Australia
15061,4,127,137818.52,1085.19,2009-12-01,2011-12-06,United Kingdom
16029,39,107,122209.14,1142.14,2009-12-08,2011-11-01,United Kingdom
17949,2,118,118628.08,1005.32,2009-12-02,2011-12-08,United Kingdom
15311,1,208,116771.16,561.4,2009-12-01,2011-12-09,United Kingdom
13089,3,203,116737.86,575.06,2009-12-02,2011-12-07,United Kingdom
12931,22,57,92347.34,1620.13,2009-12-01,2011-11-18,United Kingdom
14298,9,82,91194.49,1112.13,2009-12-11,2011-12-01,United Kingdom
15769,8,46,88704.32,1928.35,2009-12-11,2011-12-02,United Kingdom
12346,326,12,77556.46,6463.04,2009-12-14,2011-01-18,United Kingdom
13798,2,110,75836.87,689.43,2009-12-08,2011-12-08,United Kingdom
15838,12,34,74163.0,2181.26,2009-12-15,2011-11-28,United Kingdom
17841,2,211,70884.07,335.94,2009-12-02,2011-12-08,United Kingdom
16754,373,29,67502.47,2327.67,2010-03-08,2010-12-02,United Kingdom
14096,5,17,65164.79,3833.22,2011-08-30,2011-12-05,United Kingdom
14088,11,16,64036.8,4002.3,2010-10-14,2011-11-29,United Kingdom
16422,18,109,63651.47,583.96,2010-01-12,2011-11-22,United Kingdom
13081,12,28,59205.15,2114.47,2009-12-08,2011-11-28,United Kingdom
16013,4,84,57446.44,683.89,2009-12-08,2011-12-06,United Kingdom
14680,26,58,57412.77,989.88,2009-12-04,2011-11-14,United Kingdom
17389,1,61,57224.68,938.11,2009-12-04,2011-12-09,United Kingdom
17850,373,155,56600.08,365.16,2009-12-05,2010-12-02,United Kingdom
12748,1,336,56599.39,168.45,2009-12-04,2011-12-09,United Kingdom
13777,1,61,56478.42,925.88,2009-12-02,2011-12-09,United Kingdom
13093,276,55,54943.65,998.98,2009-12-04,2011-03-09,United Kingdom
13408,2,106,51733.46,488.05,2009-12-04,2011-12-08,United Kingdom
17404,5,23,47781.12,2077.44,2010-01-07,2011-12-05,Sweden
13881,4,43,45179.1,1050.68,2010-03-04,2011-12-06,United Kingdom
15749,236,3,44534.3,14844.77,2011-01-11,2011-04-18,United Kingdom
16705,1,42,43515.05,1036.07,2009-12-09,2011-12-09,United Kingdom
14031,8,44,40999.17,931.8,2009-12-03,2011-12-02,United Kingdom
15039,10,93,40031.43,430.45,2009-12-10,2011-11-30,United Kingdom
17381,9,38,40002.37,1052.69,2010-06-09,2011-12-01,United Kingdom
12471,3,79,39963.79,505.87,2009-12-07,2011-12-07,Germany
15098,183,3,39916.5,13305.5,2011-06-10,2011-06-10,United Kingdom
16210,2,35,38489.51,1099.7,2009-12-02,2011-12-08,United Kingdom
17675,2,70,38259.6,546.57,2009-12-10,2011-12-08,United Kingdom
17677,2,54,36692.91,679.5,2009-12-16,2011-12-08,United Kingdom
12921,10,74,35921.04,485.42,2009-12-01,2011-11-30,United Kingdom
13767,3,73,35540.53,486.86,2009-12-01,2011-12-07,United Kingdom
12678,43,21,34281.18,1632.44,2010-01-07,2011-10-28,France
15856,5,52,34220.34,658.08,2009-12-03,2011-12-05,United Kingdom
13902,633,5,34095.26,6819.05,2009-12-15,2010-03-17,Denmark
16779,3,53,33268.24,627.7,2009-12-03,2011-12-07,United Kingdom
14258,10,25,32051.34,1282.05,2009-12-04,2011-11-30,United Kingdom
17428,1,45,31819.76,707.11,2009-12-01,2011-12-09,United Kingdom
12709,16,34,31093.34,914.51,2009-12-09,2011-11-24,Germany
12681,15,45,30868.28,685.96,2009-12-13,2011-11-25,France
14606,2,192,30861.06,160.73,2009-12-03,2011-12-08,United Kingdom
17940,50,16,30393.19,1899.57,2009-12-03,2011-10-21,United Kingdom
13078,4,57,29532.45,518.11,2009-12-01,2011-12-06,United Kingdom
13098,2,28,28882.44,1031.52,2011-01-26,2011-12-08,United Kingdom
17857,5,24,28682.24,1195.09,2010-03-08,2011-12-05,United Kingdom
14527,3,122,27792.3,227.81,2009-12-02,2011-12-07,United Kingdom
15513,34,35,27750.55,792.87,2010-01-13,2011-11-06,United Kingdom
16333,8,22,26626.8,1210.31,2011-02-03,2011-12-02,United Kingdom
17865,31,46,26374.39,573.36,2009-12-01,2011-11-09,United Kingdom
18251,88,9,26278.86,2919.87,2009-12-22,2011-09-13,United Kingdom
13802,139,19,26259.11,1382.06,2010-02-16,2011-07-24,United Kingdom
15498,3,44,26039.58,591.81,2009-12-16,2011-12-07,United Kingdom
12731,24,17,25775.71,1516.22,2010-03-02,2011-11-16,France
14062,10,24,25604.2,1066.84,2009-12-10,2011-11-30,United Kingdom
12744,52,11,25317.06,2301.55,2010-04-27,2011-10-19,Singapore
12939,65,20,25264.8,1263.24,2010-01-12,2011-10-06,United Kingdom
14895,8,38,25119.54,661.04,2009-12-10,2011-12-02,United Kingdom
12621,2,35,24775.81,707.88,2010-02-09,2011-12-08,Germany
16525,3,48,24582.64,512.14,2009-12-02,2011-12-07,United Kingdom
17920,5,54,24516.46,454.01,2009-12-06,2011-12-05,United Kingdom
13001,5,33,24172.1,732.49,2009-12-03,2011-12-05,United Kingdom
14607,16,22,24137.63,1097.17,2009-12-15,2011-11-24,United Kingdom
12682,4,52,24033.91,462.19,2009-12-01,2011-12-06,France
15640,5,29,23957.58,826.12,2009-12-14,2011-12-05,United Kingdom
12482,577,29,23691.4,816.94,2010-02-24,2010-05-12,Sweden
12409,79,7,23419.29,3345.61,2010-05-23,2011-09-22,Switzerland
16133,4,56,22992.26,410.58,2010-03-31,2011-12-06,United Kingdom
14063,439,9,22710.2,2523.36,2009-12-08,2010-09-27,United Kingdom
14051,1,37,22434.0,606.32,2009-12-03,2011-12-09,United Kingdom
17340,30,18,22404.82,1244.71,2010-02-14,2011-11-10,United Kingdom
16839,9,44,22310.49,507.06,2010-02-11,2011-12-01,United Kingdom
12540,20,33,22254.49,674.38,2009-12-07,2011-11-20,Spain
15159,2,34,22116.73,650.49,2010-10-04,2011-12-08,United Kingdom
13340,46,12,22100.56,1841.71,2010-02-22,2011-10-25,United Kingdom
13319,6,58,22082.5,380.73,2009-12-06,2011-12-04,United Kingdom
14667,11,54,21927.14,406.06,2009-12-02,2011-11-29,United Kingdom
12753,23,6,21429.39,3571.57,2010-12-12,2011-11-17,Japan
15615,11,47,21373.97,454.77,2009-12-02,2011-11-29,United Kingdom
17243,2,69,20889.86,302.75,2009-12-01,2011-12-08,United Kingdom
14866,11,19,20850.22,1097.38,2010-08-26,2011-11-29,United Kingdom
17706,5,31,20749.98,669.35,2010-01-19,2011-12-05,United Kingdom
12433,1,10,20581.26,2058.13,2010-08-20,2011-12-09,Norway
15251,10,21,20324.54,967.84,2010-01-29,2011-11-30,United Kingdom
12477,23,9,20276.37,2252.93,2010-03-26,2011-11-17,Germany
18008,71,23,19787.13,860.31,2010-01-06,2011-09-30,United Kingdom
17139,16,25,19584.46,783.38,2010-01-11,2011-11-24,United Kingdom
16843,43,35,19571.43,559.18,2009-12-10,2011-10-28,United Kingdom
17581,1,43,18757.75,436.23,2009-12-03,2011-12-09,United Kingdom
12557,17,8,18716.14,2339.52,2009-12-17,2011-11-23,Spain
14194,5,36,18670.59,518.63,2010-01-06,2011-12-05,United Kingdom
13113,1,37,18625.73,503.4,2010-03-28,2011-12-09,United Kingdom
15808,307,21,18409.93,876.66,2009-12-01,2011-02-06,United Kingdom
17377,24,78,18319.41,234.86,2009-12-02,2011-11-16,United Kingdom
12357,34,3,18287.66,6095.89,2010-11-16,2011-11-06,Switzerland
16746,5,42,18066.4,430.15,2009-12-04,2011-12-05,United Kingdom
12647,23,36,17924.35,497.9,2010-01-13,2011-11-17,Germany
12472,33,19,17880.59,941.08,2009-12-14,2011-11-07,Germany
15078,8,53,17761.88,335.13,2009-12-04,2011-12-02,United Kingdom
12901,9,28,17654.54,630.52,2011-03-14,2011-12-01,United Kingdom
14952,60,32,17629.35,550.92,2009-12-03,2011-10-11,United Kingdom
16652,59,16,17550.39,1096.9,2010-03-17,2011-10-12,United Kingdom
15189,2,46,17524.38,380.96,2010-07-18,2011-12-08,United Kingdom
18172,15,52,17479.84,336.15,2009-12-11,2011-11-25,United Kingdom
16019,47,27,17465.85,646.88,2009-12-14,2011-10-24,United Kingdom
15523,85,16,17359.99,1085.0,2009-12-02,2011-09-16,United Kingdom
13027,114,19,17335.2,912.38,2010-01-20,2011-08-18,United Kingdom
17416,30,22,17298.45,786.29,2009-12-14,2011-11-10,United Kingdom
13564,145,37,17249.55,466.2,2009-12-02,2011-07-18,United Kingdom
17735,3,26,17244.93,663.27,2010-07-30,2011-12-07,United Kingdom
14277,16,9,17225.81,1913.98,2009-12-13,2011-11-24,France
15358,5,42,17050.41,405.96,2009-12-07,2011-12-05,United Kingdom
15125,26,24,17024.87,709.37,2010-03-31,2011-11-14,United Kingdom
16656,23,30,16833.17,561.11,2009-12-04,2011-11-17,United Kingdom
12454,57,5,16679.78,3335.96,2010-10-14,2011-10-14,Spain
16553,164,33,16644.01,504.36,2010-02-11,2011-06-29,United Kingdom
13199,4,67,16432.89,245.27,2009-12-05,2011-12-06,United Kingdom
14961,11,22,16410.15,745.92,2009-12-04,2011-11-29,United Kingdom
13225,4,16,16260.07,1016.25,2009-12-17,2011-12-06,United Kingdom
16180,101,13,16249.87,1249.99,2010-06-23,2011-08-31,United Kingdom
12980,158,21,16245.78,773.61,2009-12-02,2011-07-05,United Kingdom
15044,20,35,16204.33,462.98,2009-12-16,2011-11-20,United Kingdom
14733,17,15,16184.97,1079.0,2010-11-02,2011-11-23,United Kingdom
18092,3,18,16179.44,898.86,2009-12-04,2011-12-07,United Kingdom
17107,34,10,16075.42,1607.54,2010-01-31,2011-11-06,United Kingdom
12971,4,116,15972.79,137.7,2009-12-15,2011-12-06,United Kingdom
17716,23,24,15956.97,664.87,2009-12-02,2011-11-17,United Kingdom
14769,3,17,15771.88,927.76,2009-12-16,2011-12-07,United Kingdom
14849,22,43,15763.45,366.59,2010-01-10,2011-11-18,United Kingdom
16191,3,24,15688.02,653.67,2009-12-11,2011-12-07,United Kingdom
15768,116,34,15601.09,458.86,2009-12-03,2011-08-16,United Kingdom
13488,18,23,15587.88,677.73,2010-01-25,2011-11-22,United Kingdom
12949,31,22,15526.7,705.76,2009-12-03,2011-11-09,United Kingdom
15601,12,30,14960.12,498.67,2009-12-01,2011-11-28,United Kingdom
14543,29,39,14906.77,382.22,2009-12-01,2011-11-11,United Kingdom
18087,99,17,14761.52,868.32,2009-12-01,2011-09-02,United Kingdom
16126,30,15,14646.8,976.45,2009-12-02,2011-11-10,United Kingdom
17133,16,12,14622.33,1218.53,2010-03-21,2011-11-24,United Kingdom
16873,5,12,14617.39,1218.12,2010-02-09,2011-12-05,United Kingdom
