CustomerID,recency_days,frequency,monetary,monetary_tier,churn_segment
12346,326,12,77556.46,Q4_High,Lapsed
16754,373,29,67502.47,Q4_High,Lost
17850,373,155,56600.08,Q4_High,Lost
13093,276,55,54943.65,Q4_High,Lapsed
15749,236,3,44534.3,Q4_High,Lapsed
15098,183,3,39916.5,Q4_High,Lapsed
13902,633,5,34095.26,Q4_High,Lost
13802,139,19,26259.11,Q4_High,At-Risk
12482,577,29,23691.4,Q4_High,Lost
14063,439,9,22710.2,Q4_High,Lost
15808,307,21,18409.93,Q4_High,Lapsed
13027,114,19,17335.2,Q4_High,At-Risk
13564,145,37,17249.55,Q4_High,At-Risk
16553,164,33,16644.01,Q4_High,At-Risk
16180,101,13,16249.87,Q4_High,At-Risk
12980,158,21,16245.78,Q4_High,At-Risk
15768,116,34,15601.09,Q4_High,At-Risk
18087,99,17,14761.52,Q4_High,At-Risk
17448,498,46,14556.97,Q4_High,Lost
15760,631,2,13916.34,Q4_High,Lost
15032,257,8,13780.65,Q4_High,Lapsed
13952,218,14,12823.52,Q4_High,Lapsed
13687,439,1,11880.84,Q4_High,Lost
14016,162,11,11403.41,Q4_High,At-Risk
14045,110,16,11313.03,Q4_High,At-Risk
14134,383,15,11123.35,Q4_High,Lost
12918,627,1,10953.5,Q4_High,Lost
18052,565,1,10877.18,Q4_High,Lost
14028,551,3,10396.5,Q4_High,Lost
18260,173,23,9962.11,Q4_High,At-Risk
17230,265,18,9924.95,Q4_High,Lapsed
12758,117,7,9903.24,Q4_High,At-Risk
12590,212,2,9864.26,Q4_High,Lapsed
14828,197,13,9839.46,Q4_High,Lapsed
17504,207,18,9565.12,Q4_High,Lapsed
14091,655,2,9530.08,Q4_High,Lost
14439,320,5,9443.04,Q4_High,Lapsed
16550,109,18,9435.13,Q4_High,At-Risk
13162,123,16,9275.49,Q4_High,At-Risk
15260,101,25,9188.23,Q4_High,At-Risk
12755,281,11,9030.66,Q4_High,Lapsed
13715,282,17,8483.29,Q4_High,Lapsed
14160,611,7,8421.47,Q4_High,Lost
13206,401,13,8377.32,Q4_High,Lost
12643,129,12,8350.42,Q4_High,At-Risk
13869,124,10,8111.57,Q4_High,At-Risk
17085,124,28,7891.41,Q4_High,At-Risk
15581,121,38,7794.59,Q4_High,At-Risk
17409,185,10,7793.51,Q4_High,Lapsed
13082,127,21,7335.75,Q4_High,At-Risk
18231,193,28,6880.97,Q4_High,Lapsed
16456,100,13,6862.91,Q4_High,At-Risk
15413,692,5,6798.72,Q4_High,Lost
14461,149,13,6713.5,Q4_High,At-Risk
13734,509,4,6701.64,Q4_High,Lost
15332,367,6,6553.74,Q4_High,Lost
14855,120,7,6520.3,Q4_High,At-Risk
14154,240,8,6460.7,Q4_High,Lapsed
15480,117,5,6279.0,Q4_High,At-Risk
13615,319,8,6272.53,Q4_High,Lapsed
15369,493,11,6251.26,Q4_High,Lost
13935,597,3,6116.92,Q4_High,Lost
18178,129,11,6103.74,Q4_High,At-Risk
12835,428,41,6043.31,Q4_High,Lost
15372,138,8,6017.06,Q4_High,At-Risk
15202,421,3,6001.49,Q4_High,Lost
14105,240,5,5988.83,Q4_High,Lapsed
17457,127,14,5984.81,Q4_High,At-Risk
14918,116,9,5955.81,Q4_High,At-Risk
14210,106,16,5861.52,Q4_High,At-Risk
17146,106,13,5860.24,Q4_High,At-Risk
13722,132,10,5635.41,Q4_High,At-Risk
16320,173,6,5628.99,Q4_High,At-Risk
14249,411,12,5625.46,Q4_High,Lost
16546,291,5,5606.47,Q4_High,Lapsed
13593,109,14,5523.69,Q4_High,At-Risk
17204,176,9,5504.69,Q4_High,At-Risk
12378,130,2,5416.32,Q4_High,At-Risk
14459,156,2,5375.74,Q4_High,At-Risk
14081,303,10,5370.1,Q4_High,Lapsed
14442,205,7,5367.02,Q4_High,Lapsed
15641,106,12,5345.55,Q4_High,At-Risk
13931,96,11,5257.38,Q4_High,At-Risk
14930,109,6,5246.63,Q4_High,At-Risk
12422,96,17,5231.8,Q4_High,At-Risk
15812,108,12,5201.47,Q4_High,At-Risk
12510,143,9,5178.02,Q4_High,At-Risk
12625,212,4,5164.88,Q4_High,Lapsed
16919,157,24,5125.91,Q4_High,At-Risk
17406,334,13,4905.05,Q4_High,Lapsed
13659,206,12,4894.88,Q4_High,Lapsed
15379,170,8,4877.84,Q4_High,At-Risk
12688,114,1,4873.81,Q4_High,At-Risk
13044,292,11,4853.9,Q4_High,Lapsed
15002,116,9,4817.28,Q4_High,At-Risk
17829,299,5,4756.74,Q4_High,Lapsed
13958,380,8,4709.23,Q4_High,Lost
17050,97,11,4691.79,Q4_High,At-Risk
17400,127,8,4677.05,Q4_High,At-Risk
16858,369,10,4668.28,Q4_High,Lost
12916,139,7,4654.02,Q4_High,At-Risk
14685,577,8,4619.79,Q4_High,Lost
15245,135,8,4610.84,Q4_High,At-Risk
13851,96,8,4606.46,Q4_High,At-Risk
16125,368,14,4587.65,Q4_High,Lost
17508,281,8,4579.23,Q4_High,Lapsed
14648,417,15,4546.86,Q4_High,Lost
17308,394,2,4511.76,Q4_High,Lost
14625,197,11,4497.88,Q4_High,Lapsed
15122,115,11,4497.47,Q4_High,At-Risk
18064,134,11,4495.03,Q4_High,At-Risk
18093,94,8,4452.71,Q4_High,At-Risk
17722,97,5,4430.36,Q4_High,At-Risk
17138,276,7,4417.27,Q4_High,Lapsed
16749,592,2,4387.08,Q4_High,Lost
16118,653,1,4376.25,Q4_High,Lost
12917,129,6,4359.2,Q4_High,At-Risk
15633,510,13,4352.46,Q4_High,Lost
16072,289,4,4328.89,Q4_High,Lapsed
12967,359,3,4306.92,Q4_High,Lapsed
14740,198,11,4161.06,Q4_High,Lapsed
12653,149,3,4160.83,Q4_High,At-Risk
17646,220,12,4149.79,Q4_High,Lapsed
14566,111,4,4092.0,Q4_High,At-Risk
14025,465,8,4057.9,Q4_High,Lost
17083,110,9,4049.79,Q4_High,At-Risk
12840,144,7,4041.97,Q4_High,At-Risk
15665,169,5,4015.12,Q4_High,At-Risk
13542,377,17,4006.17,Q4_High,Lost
17307,396,11,3999.89,Q4_High,Lost
14817,201,7,3959.86,Q4_High,Lapsed
14465,247,11,3946.03,Q4_High,Lapsed
13037,139,12,3914.95,Q4_High,At-Risk
12853,135,11,3907.5,Q4_High,At-Risk
15823,373,3,3897.17,Q4_High,Lost
13446,431,11,3881.89,Q4_High,Lost
18073,115,12,3877.52,Q4_High,At-Risk
14565,96,5,3859.22,Q4_High,At-Risk
14532,237,11,3859.18,Q4_High,Lapsed
13357,258,5,3838.36,Q4_High,Lapsed
15704,141,6,3817.96,Q4_High,At-Risk
16636,439,4,3802.04,Q4_High,Lost
18168,177,16,3770.27,Q4_High,At-Risk
15079,213,11,3767.35,Q4_High,Lapsed
17553,130,4,3757.6,Q4_High,At-Risk
12623,277,7,3747.84,Q4_High,Lapsed
12502,96,5,3723.87,Q4_High,At-Risk
16772,424,3,3723.55,Q4_High,Lost
14364,109,8,3717.35,Q4_High,At-Risk
12737,499,2,3710.5,Q4_High,Lost
12857,211,6,3688.0,Q4_High,Lapsed
12872,327,12,3685.49,Q4_High,Lapsed
12468,188,5,3670.74,Q4_High,Lapsed
16718,370,5,3647.53,Q4_High,Lost
14770,233,8,3637.64,Q4_High,Lapsed
16503,107,11,3614.34,Q4_High,At-Risk
15569,104,10,3586.35,Q4_High,At-Risk
15222,319,11,3550.91,Q4_High,Lapsed
16336,421,4,3517.69,Q4_High,Lost
13929,170,11,3494.1,Q4_High,At-Risk
17597,214,5,3484.09,Q4_High,Lapsed
17931,135,14,3437.29,Q4_High,At-Risk
16045,120,8,3434.93,Q4_High,At-Risk
12377,316,4,3426.32,Q4_High,Lapsed
17876,400,3,3424.02,Q4_High,Lost
13031,408,5,3419.27,Q4_High,Lost
13425,109,5,3403.63,Q4_High,At-Risk
16067,563,3,3395.29,Q4_High,Lost
17723,128,7,3378.4,Q4_High,At-Risk
13135,197,2,3371.45,Q4_High,Lapsed
13707,268,5,3365.86,Q4_High,Lapsed
13786,368,6,3358.94,Q4_High,Lost
15538,538,6,3358.4,Q4_High,Lost
15265,152,4,3345.64,Q4_High,At-Risk
12424,163,4,3340.03,Q4_High,At-Risk
13848,93,8,3335.0,Q4_High,At-Risk
14344,128,20,3333.7,Q4_High,At-Risk
16351,333,13,3330.03,Q4_High,Lapsed
17774,97,9,3328.05,Q4_High,At-Risk
13291,156,11,3320.84,Q4_High,At-Risk
14161,216,7,3318.88,Q4_High,Lapsed
13214,418,7,3264.23,Q4_High,Lost
15057,276,5,3255.96,Q4_High,Lapsed
12770,211,2,3246.45,Q4_High,Lapsed
14669,242,7,3243.93,Q4_High,Lapsed
17353,130,4,3242.0,Q4_High,At-Risk
15625,104,9,3236.4,Q4_High,At-Risk
15353,255,7,3175.95,Q4_High,Lapsed
13052,213,7,3168.53,Q4_High,Lapsed
16400,95,9,3159.44,Q4_High,At-Risk
12976,212,8,3156.38,Q4_High,Lapsed
15614,438,4,3147.36,Q4_High,Lost
15095,104,10,3141.64,Q4_High,At-Risk
15596,101,9,3130.04,Q4_High,At-Risk
17145,513,4,3120.91,Q4_High,Lost
15491,96,6,3100.09,Q4_High,At-Risk
12511,429,1,3084.02,Q4_High,Lost
12469,523,2,3070.54,Q4_High,Lost
13631,100,11,3070.42,Q4_High,At-Risk
15716,146,11,3056.81,Q4_High,At-Risk
13485,234,11,3019.22,Q4_High,Lapsed
13963,309,17,3011.87,Q4_High,Lapsed
12754,236,3,3010.74,Q4_High,Lapsed
14590,425,20,3006.62,Q4_High,Lost
17032,548,8,3004.6,Q4_High,Lost
15182,155,11,2998.95,Q4_High,At-Risk
17692,128,12,2975.8,Q4_High,At-Risk
16736,506,5,2956.56,Q4_High,Lost
14867,186,16,2952.06,Q4_High,Lapsed
13253,157,4,2951.11,Q4_High,At-Risk
17444,148,3,2940.04,Q4_High,At-Risk
17588,101,7,2939.55,Q4_High,At-Risk
15235,218,16,2937.81,Q4_High,Lapsed
16755,115,7,2900.58,Q4_High,At-Risk
17320,101,6,2895.77,Q4_High,At-Risk
15100,334,7,2894.7,Q4_High,Lapsed
17242,109,5,2889.28,Q4_High,At-Risk
13501,289,3,2885.11,Q4_High,Lapsed
12806,436,4,2878.96,Q4_High,Lost
16467,509,7,2869.16,Q4_High,Lost
14758,145,7,2864.97,Q4_High,At-Risk
14875,108,3,2862.4,Q4_High,At-Risk
14935,298,2,2849.83,Q4_High,Lapsed
16163,233,6,2849.58,Q4_High,Lapsed
15797,114,6,2821.08,Q4_High,At-Risk
13330,93,6,2806.18,Q4_High,At-Risk
13799,117,9,2803.57,Q4_High,At-Risk
13205,444,1,2803.2,Q4_High,Lost
16335,552,7,2774.0,Q4_High,Lost
15817,421,3,2766.4,Q4_High,Lost
12982,243,8,2744.81,Q4_High,Lapsed
17241,386,12,2744.14,Q4_High,Lost
12669,151,3,2744.03,Q4_High,At-Risk
15389,173,5,2733.8,Q4_High,At-Risk
12986,429,10,2729.84,Q4_High,Lost
15985,124,7,2715.28,Q4_High,At-Risk
12725,372,4,2694.56,Q4_High,Lost
14496,312,7,2668.23,Q4_High,Lapsed
14410,93,11,2651.14,Q4_High,At-Risk
13819,302,6,2642.35,Q4_High,Lapsed
16276,177,3,2629.39,Q4_High,At-Risk
14548,151,9,2627.49,Q4_High,At-Risk
12671,607,1,2622.48,Q4_High,Lost
14573,180,13,2621.42,Q4_High,At-Risk
14195,202,6,2615.6,Q4_High,Lapsed
14431,303,4,2614.2,Q4_High,Lapsed
14564,435,2,2605.62,Q4_High,Lost
17787,153,4,2601.47,Q4_High,At-Risk
17897,173,9,2585.0,Q4_High,At-Risk
12592,93,5,2582.66,Q4_High,At-Risk
13151,296,3,2580.74,Q4_High,Lapsed
16244,212,2,2579.38,Q4_High,Lapsed
16499,361,8,2578.34,Q4_High,Lapsed
14745,113,12,2571.81,Q4_High,At-Risk
13192,96,6,2558.58,Q4_High,At-Risk
17550,198,9,2547.64,Q4_High,Lapsed
17465,426,7,2542.79,Q4_High,Lost
16889,195,6,2530.9,Q4_High,Lapsed
12978,386,5,2502.82,Q4_High,Lost
16202,361,9,2501.99,Q4_High,Lapsed
13414,134,6,2494.14,Q4_High,At-Risk
16795,366,3,2492.39,Q4_High,Lost
16520,187,6,2482.62,Q4_High,Lapsed
14256,261,5,2473.99,Q4_High,Lapsed
13762,219,5,2472.48,Q4_High,Lapsed
17732,373,8,2470.39,Q4_High,Lost
15221,367,4,2465.45,Q4_High,Lost
13338,158,4,2445.62,Q4_High,At-Risk
15623,142,8,2437.05,Q4_High,At-Risk
17505,162,5,2435.48,Q4_High,At-Risk
13085,158,8,2433.28,Q4_High,At-Risk
15077,495,2,2428.08,Q4_High,Lost
12733,235,4,2424.87,Q4_High,Lapsed
15658,191,8,2423.47,Q4_High,Lapsed
12802,187,7,2416.42,Q4_High,Lapsed
14414,92,8,2399.33,Q4_High,At-Risk
16147,134,5,2398.91,Q4_High,At-Risk
16883,188,19,2396.59,Q4_High,Lapsed
16812,361,4,2392.0,Q4_High,Lapsed
16105,249,5,2386.19,Q4_High,Lapsed
16065,366,8,2382.62,Q4_High,Lost
17969,167,20,2369.94,Q4_High,At-Risk
15015,502,13,2365.02,Q4_High,Lost
16083,101,4,2351.42,Q4_High,At-Risk
17282,131,5,2339.66,Q4_High,At-Risk
13280,123,7,2322.63,Q4_High,At-Risk
17113,575,6,2322.59,Q4_High,Lost
14938,563,2,2322.43,Q4_High,Lost
14346,121,5,2315.75,Q4_High,At-Risk
17994,122,11,2313.32,Q4_High,At-Risk
14481,165,5,2311.49,Q4_High,At-Risk
15946,503,3,2304.18,Q3_MidHigh,Lost
13059,250,10,2303.17,Q3_MidHigh,Lapsed
18095,313,5,2303.09,Q3_MidHigh,Lapsed
16077,626,1,2300.4,Q3_MidHigh,Lost
13371,506,2,2297.66,Q3_MidHigh,Lost
12649,108,8,2294.65,Q3_MidHigh,At-Risk
18051,635,7,2282.28,Q3_MidHigh,Lost
13655,115,6,2280.51,Q3_MidHigh,At-Risk
13748,96,9,2268.35,Q3_MidHigh,At-Risk
15638,379,6,2265.2,Q3_MidHigh,Lost
15734,115,4,2263.3,Q3_MidHigh,At-Risk
16823,228,7,2260.09,Q3_MidHigh,Lapsed
13814,93,3,2257.32,Q3_MidHigh,At-Risk
12868,186,8,2247.06,Q3_MidHigh,Lapsed
16174,127,7,2246.75,Q3_MidHigh,At-Risk
13407,579,3,2244.7,Q3_MidHigh,Lost
15629,451,4,2240.9,Q3_MidHigh,Lost
16551,96,7,2237.12,Q3_MidHigh,At-Risk
17460,95,16,2228.27,Q3_MidHigh,At-Risk
14472,104,9,2228.22,Q3_MidHigh,At-Risk
13478,470,5,2215.78,Q3_MidHigh,Lost
15476,381,4,2209.98,Q3_MidHigh,Lost
14006,116,7,2196.67,Q3_MidHigh,At-Risk
16317,120,5,2192.51,Q3_MidHigh,At-Risk
15934,418,2,2190.66,Q3_MidHigh,Lost
17822,421,5,2188.5,Q3_MidHigh,Lost
15649,337,4,2170.35,Q3_MidHigh,Lapsed
12501,337,1,2169.39,Q3_MidHigh,Lapsed
13888,120,7,2169.05,Q3_MidHigh,At-Risk
15944,277,4,2164.24,Q3_MidHigh,Lapsed
14407,108,6,2157.73,Q3_MidHigh,At-Risk
18009,236,8,2155.83,Q3_MidHigh,Lapsed
16275,197,3,2151.11,Q3_MidHigh,Lapsed
18239,219,6,2150.36,Q3_MidHigh,Lapsed
16716,267,3,2149.68,Q3_MidHigh,Lapsed
16004,475,5,2146.39,Q3_MidHigh,Lost
13152,418,7,2146.38,Q3_MidHigh,Lost
12687,481,2,2138.91,Q3_MidHigh,Lost
17029,111,7,2137.3,Q3_MidHigh,At-Risk
17305,649,1,2135.46,Q3_MidHigh,Lost
14634,438,4,2124.46,Q3_MidHigh,Lost
16807,143,6,2123.88,Q3_MidHigh,At-Risk
15456,284,10,2119.27,Q3_MidHigh,Lapsed
14399,395,8,2113.16,Q3_MidHigh,Lost
14469,417,4,2112.21,Q3_MidHigh,Lost
16054,146,4,2111.88,Q3_MidHigh,At-Risk
14276,99,7,2102.68,Q3_MidHigh,At-Risk
12975,437,6,2100.09,Q3_MidHigh,Lost
16510,373,6,2100.0,Q3_MidHigh,Lost
17742,114,11,2098.48,Q3_MidHigh,At-Risk
13753,288,4,2094.57,Q3_MidHigh,Lapsed
17585,110,7,2093.3,Q3_MidHigh,At-Risk
14896,205,8,2092.42,Q3_MidHigh,Lapsed
15151,424,2,2085.61,Q3_MidHigh,Lost
18026,501,2,2074.07,Q3_MidHigh,Lost
17048,118,7,2071.68,Q3_MidHigh,At-Risk
17126,153,9,2070.44,Q3_MidHigh,At-Risk
16290,465,4,2069.3,Q3_MidHigh,Lost
14988,212,7,2066.6,Q3_MidHigh,Lapsed
13476,179,5,2061.47,Q3_MidHigh,At-Risk
18258,465,6,2059.67,Q3_MidHigh,Lost
