CustomerID,Recency,Frequency,Monetary,AvgOrderValue,Country,R_score,F_score,M_score,RFM_score,RFM_Segment
18102,1,145,608821.65,4198.77,United Kingdom,5,5,5,15,Champion
14646,2,151,528602.52,3500.68,Netherlands,5,5,5,15,Champion
14156,10,156,313946.37,2012.48,EIRE,5,5,5,15,Champion
14911,2,398,295972.63,743.65,EIRE,5,5,5,15,Champion
17450,9,51,246973.09,4842.61,United Kingdom,5,5,5,15,Champion
13694,4,143,196482.81,1374.01,United Kingdom,5,5,5,15,Champion
17511,3,60,175603.55,2926.73,United Kingdom,5,5,5,15,Champion
16446,1,2,168472.5,84236.25,United Kingdom,5,2,5,12,Loyal
16684,5,55,147142.77,2675.32,United Kingdom,5,5,5,15,Champion
12415,25,28,144458.37,5159.23,Australia,4,5,5,14,Champion
15061,4,127,137818.52,1085.19,United Kingdom,5,5,5,15,Champion
16029,39,107,122209.14,1142.14,United Kingdom,4,5,5,14,Champion
17949,2,118,118628.08,1005.32,United Kingdom,5,5,5,15,Champion
15311,1,208,116771.16,561.4,United Kingdom,5,5,5,15,Champion
13089,3,203,116737.86,575.06,United Kingdom,5,5,5,15,Champion
12931,22,57,92347.34,1620.13,United Kingdom,4,5,5,14,Champion
14298,9,82,91194.49,1112.13,United Kingdom,5,5,5,15,Champion
15769,8,46,88704.32,1928.35,United Kingdom,5,5,5,15,Champion
12346,326,12,77556.46,6463.04,United Kingdom,2,5,5,12,Loyal
13798,2,110,75836.87,689.43,United Kingdom,5,5,5,15,Champion
15838,12,34,74163.0,2181.26,United Kingdom,5,5,5,15,Champion
17841,2,211,70884.07,335.94,United Kingdom,5,5,5,15,Champion
16754,373,29,67502.47,2327.67,United Kingdom,2,5,5,12,Loyal
14096,5,17,65164.79,3833.22,United Kingdom,5,5,5,15,Champion
14088,11,16,64036.8,4002.3,United Kingdom,5,5,5,15,Champion
16422,18,109,63651.47,583.96,United Kingdom,5,5,5,15,Champion
13081,12,28,59205.15,2114.47,United Kingdom,5,5,5,15,Champion
16013,4,84,57446.44,683.89,United Kingdom,5,5,5,15,Champion
14680,26,58,57412.77,989.88,United Kingdom,4,5,5,14,Champion
