window,model,Norm_Gini,RevCapture_10,Precision_10,Spearman,MAE
D1,Mean,0.0289,11.7,0.1429,0.0,230.8
D1,Monetary,0.8182,31.61,0.6122,0.7663,310.68
D1,RFM_score,0.7882,29.73,0.5306,0.755,248.14
D1,Ridge,0.8511,34.84,0.6531,0.7992,134.93
D1,RandomForest,0.8456,33.48,0.6531,0.7989,113.25
D1,XGBoost,0.8367,33.13,0.6939,0.7884,116.36
D1,LightGBM,0.8357,33.39,0.6531,0.7864,119.62
D1,Hurdle,0.8345,34.65,0.7143,0.7829,112.03
D2,Mean,-0.0471,10.6,0.12,0.0,388.58
D2,Monetary,0.8341,32.97,0.62,0.7898,577.85
D2,RFM_score,0.8129,32.02,0.58,0.7792,450.46
D2,Ridge,0.8684,34.45,0.7,0.8331,200.21
D2,RandomForest,0.8669,34.84,0.72,0.825,170.06
D2,XGBoost,0.8645,34.5,0.7,0.8191,174.57
D2,LightGBM,0.8526,34.54,0.72,0.8077,182.78
D2,Hurdle,0.8606,34.3,0.68,0.8132,179.36
D3,Mean,-0.0099,12.43,0.12,0.0,375.97
D3,Monetary,0.8327,32.95,0.72,0.7776,970.44
D3,RFM_score,0.8056,31.08,0.64,0.7608,433.71
D3,Ridge,0.8502,33.87,0.78,0.8015,211.32
D3,RandomForest,0.859,34.15,0.8,0.8133,154.75
D3,XGBoost,0.8494,33.98,0.78,0.802,156.86
D3,LightGBM,0.8534,33.95,0.76,0.8022,160.97
D3,Hurdle,0.8585,33.63,0.76,0.7949,156.23
D4,Mean,-0.0213,8.16,0.12,0.0,392.35
D4,Monetary,0.8136,31.87,0.68,0.7648,1978.64
D4,RFM_score,0.7884,30.05,0.58,0.7529,471.21
D4,Ridge,0.862,33.96,0.68,0.8241,569.3
D4,RandomForest,0.8747,34.72,0.72,0.8347,172.24
D4,XGBoost,0.8663,35.33,0.78,0.823,175.36
D4,LightGBM,0.8525,35.2,0.76,0.8105,184.22
D4,Hurdle,0.8671,34.54,0.7,0.8249,179.63
