feature,mean_abs_shap_norm
recency_days,0.1879921341247639
seq_active_periods,0.08165308139765497
seq_spend_recent_half,0.0614188756873739
sem_taste_drift,0.04385204391527327
category_diversity,0.03201541887630851
avg_days_between_orders,0.02989336310848757
sem_emb_17,0.026867833184404923
sem_emb_7,0.024231377856696847
active_days,0.024008306619696617
sem_emb_10,0.021578901655363872
regularity,0.019368824798328625
avg_basket_size,0.017260435550561046
seq_spend_slope,0.017160864607456843
sem_emb_2,0.016987741700534898
sem_emb_22,0.015705185163279428
sem_emb_29,0.015224301021148455
sem_emb_25,0.014834607531367516
spend_per_active_day,0.014539434958368905
sem_emb_23,0.01422174625707345
sem_emb_5,0.014101008845295492
sem_emb_6,0.013916311817685998
seq_recent_vs_older_ratio,0.013684699821271112
sem_emb_1,0.013625550063623777
sem_emb_8,0.013354949742739845
sem_emb_9,0.01268776763675267
seq_orders_slope,0.012685700559973059
sem_emb_3,0.0119351921520745
sem_emb_12,0.011865390070915412
sem_emb_31,0.011613212093387597
product_diversity,0.011289087012965415
sem_emb_18,0.011169740576855432
sem_emb_28,0.011151053807741031
avg_order_value,0.010945686357095558
sem_taste_diversity,0.010585944501854742
sem_emb_19,0.009821048586463599
sem_emb_27,0.009666455342738807
sem_emb_11,0.009539220892291247
sem_emb_24,0.009408557492076832
monetary,0.009271528652815062
sem_emb_0,0.009187672432392513
sem_emb_14,0.009021291630175218
sem_emb_20,0.008827098523931537
sem_emb_15,0.008740520725806049
sem_emb_21,0.008720390826082532
sem_emb_16,0.008061005363077266
sem_emb_30,0.006692929927207958
sem_emb_26,0.006449824528489458
sem_emb_13,0.0061124731593892485
frequency,0.005926322385573383
sem_emb_4,0.0058230316734415736
tenure_days,0.005304854783672573
log_monetary,0.0
log_frequency,0.0
n_baskets,0.0
recency_to_snapshot,0.0
seq_spend_last_period,0.0
