window,model,Norm_Gini,RevCapture_10,Precision_10,Spearman,MAE
W1,Mean,0.1328,6.31,0.1059,0.0,617.37
W1,Monetary,0.8345,63.63,0.5176,0.4719,1783.3
W1,RFM_score,0.8102,65.32,0.5765,0.4908,447.08
W1,Ridge,0.8219,62.58,0.5294,0.5186,918.98
W1,RandomForest,0.8364,62.65,0.5529,0.5192,351.25
W1,XGBoost,0.8119,59.94,0.5059,0.4898,353.35
W1,LightGBM,0.8093,62.08,0.5412,0.4888,450.4
W1,Hurdle,0.836,65.33,0.5647,0.4961,374.04
W2,Mean,0.0192,10.61,0.1222,0.0,416.54
W2,Monetary,0.7594,50.41,0.5667,0.5303,1666.7
W2,RFM_score,0.7347,48.45,0.5444,0.5281,292.67
W2,Ridge,0.7611,46.9,0.4889,0.5662,243.66
W2,RandomForest,0.756,48.81,0.5,0.5411,229.36
W2,XGBoost,0.7536,46.85,0.5111,0.5343,227.42
W2,LightGBM,0.7422,45.83,0.4889,0.5241,228.54
W2,Hurdle,0.7704,48.15,0.5333,0.5286,239.01
W3,Mean,0.0827,7.57,0.1224,0.0,1262.53
W3,Monetary,0.8723,66.01,0.6735,0.6023,1495.86
W3,RFM_score,0.8511,64.66,0.6327,0.619,983.5
W3,Ridge,0.8316,59.1,0.6224,0.6493,820.13
W3,RandomForest,0.8234,59.19,0.6224,0.6167,730.84
W3,XGBoost,0.8404,63.63,0.602,0.6112,701.86
W3,LightGBM,0.8442,63.6,0.6122,0.6119,677.56
W3,Hurdle,0.8688,63.63,0.6327,0.6198,700.5
W4,Mean,-0.0269,9.57,0.1212,0.0,777.54
W4,Monetary,0.746,46.89,0.5758,0.5051,1119.57
W4,RFM_score,0.6423,47.45,0.5758,0.42,625.98
W4,Ridge,0.7165,45.67,0.5303,0.5127,494.61
W4,RandomForest,0.6838,45.83,0.5455,0.4936,476.35
W4,XGBoost,0.6704,44.02,0.5303,0.4735,455.6
W4,LightGBM,0.6562,43.37,0.5303,0.4565,494.0
W4,Hurdle,0.7027,45.38,0.5455,0.4771,498.15
W5,Mean,-0.0023,10.92,0.1635,0.0,737.94
W5,Monetary,0.6203,54.75,0.5385,0.5173,1995.85
W5,RFM_score,0.7552,53.11,0.5385,0.5365,557.22
W5,Ridge,0.6732,52.73,0.5385,0.5757,480.83
W5,RandomForest,0.7446,52.85,0.5385,0.5652,441.04
W5,XGBoost,0.7403,54.27,0.5769,0.5591,445.99
W5,LightGBM,0.7438,54.3,0.5577,0.5609,442.77
W5,Hurdle,0.735,55.82,0.5673,0.5787,402.05
