Model,MAE_mean,MAE_std,R2_mean,R2_std,Norm_Gini_mean,Norm_Gini_std,Revenue_Capture_10_mean,Revenue_Capture_10_std,Revenue_Capture_20_mean,Revenue_Capture_20_std,Lift_10_mean,Lift_10_std,Top5_MAPE_mean,Top5_MAPE_std,Category
MCD-ZILN,732.263,99.0999,-6.8298,10.9995,0.8343,0.0579,60.6819,8.8948,74.7989,7.5024,6.0682,0.8895,1.0312,0.24,Deep Learning (ZILN-family)
Hurdle Model,449.49,241.0498,0.4936,0.0453,0.8339,0.0573,60.9614,9.2645,74.8672,6.8415,6.0961,0.9265,0.7114,0.1082,Two-Stage (Hurdle)
ZILN (Deep Learning),617.7499,366.1771,-5.346,10.4179,0.8334,0.0552,60.199,10.775,75.3399,5.5747,6.0199,1.0775,0.7281,0.1247,Deep Learning (ZILN-family)
Hurdle + Sequence,456.9397,247.4286,0.4777,0.0793,0.8333,0.0526,59.5838,8.6214,75.073,7.1179,5.9584,0.8621,0.7489,0.0828,Two-Stage (Hurdle)
OptDist (Multi-ZILN),683.6511,369.695,-4.8034,7.9324,0.833,0.0566,60.1089,9.7953,74.4425,6.3492,6.0109,0.9795,0.8054,0.109,Deep Learning (ZILN-family)
dRNN (Dilated),6074.9871,9273.6034,-53.05,88.2276,0.8273,0.0577,60.2343,9.3783,75.5962,6.414,6.0234,0.9378,1.0721,0.6925,Deep Learning (Sequence)
XGBoost (raw),449.8475,220.4267,0.5369,0.0644,0.8222,0.0531,58.8485,9.1441,73.7119,6.3018,5.8848,0.9144,0.7597,0.1526,Gradient Boosting
Monetary,522.3878,277.4703,0.0224,0.1736,0.8221,0.0575,60.0172,8.4055,74.4689,6.0027,6.0017,0.8406,1.6772,0.4589,Simple Baselines
XGBoost (log),479.7334,296.6593,0.2041,0.1313,0.8163,0.0437,56.855,7.3163,73.5038,6.1417,5.6855,0.7316,0.7923,0.2758,Gradient Boosting
LightGBM + Sequence (log),478.0988,282.3981,0.1747,0.1447,0.8111,0.0415,56.6517,6.4113,72.0137,4.8194,5.6652,0.6411,0.8344,0.3391,Gradient Boosting
LightGBM (raw),471.8127,236.1173,0.3419,0.2607,0.8099,0.0727,58.8008,9.2017,74.6649,6.0628,5.8801,0.9202,0.845,0.1238,Gradient Boosting
Linear Regression,455.9759,244.8729,0.5868,0.2324,0.8098,0.0572,60.554,9.6827,73.6116,7.048,6.0554,0.9683,0.7859,0.1081,Linear
Ridge (log),776.4,487.3815,-19.9396,34.6857,0.7967,0.0478,55.1537,8.5108,70.9481,6.9791,5.5154,0.8511,0.8241,0.2027,Linear
LightGBM (log),478.3624,294.4546,0.2474,0.2122,0.7939,0.0615,56.1223,7.5142,71.6102,8.0603,5.6122,0.7514,0.7555,0.2192,Gradient Boosting
RFM Score,706.9795,399.1896,0.0472,0.0339,0.7161,0.0701,52.6848,9.9027,64.8649,5.3133,5.2685,0.9903,0.9762,0.1978,Simple Baselines
BG/NBD + Gamma-Gamma,549.8901,302.7077,0.6671,0.1583,0.485,0.1717,3.227,2.756,38.8101,31.0292,0.3227,0.2756,,,Probabilistic
Mean Predictor,765.4812,442.015,-0.0015,0.0021,-0.0486,0.0769,9.7196,2.7284,20.9963,1.8282,0.972,0.2728,1.4775,0.0496,Simple Baselines
