Model,Revenue_10,Margin_pct,Cost_per_cust,Net_Profit,ROI_pct
Random,10.0,10.0,1.0,23902.0,24389.795918367345
Monetary,60.02,10.0,1.0,143950.00000000003,146887.75510204083
RFM Score,52.68,10.0,1.0,126334.0,128912.24489795919
XGBoost (Optuna),58.85,10.0,1.0,141142.0,144022.44897959183
LightGBM (Optuna),58.8,10.0,1.0,141022.0,143900.0
Hurdle (Proposed),60.96,10.0,1.0,146206.0,149189.79591836734
ZILN,60.2,10.0,1.0,144382.0,147328.57142857142
MCD-ZILN,60.68,10.0,1.0,145534.0,148504.08163265305
Oracle,72.2,10.0,1.0,173182.0,176716.32653061225
Random,10.0,10.0,3.0,23706.0,8063.265306122449
Monetary,60.02,10.0,3.0,143754.00000000003,48895.91836734695
RFM Score,52.68,10.0,3.0,126138.0,42904.08163265306
XGBoost (Optuna),58.85,10.0,3.0,140946.0,47940.816326530614
LightGBM (Optuna),58.8,10.0,3.0,140826.0,47900.0
Hurdle (Proposed),60.96,10.0,3.0,146010.0,49663.26530612245
ZILN,60.2,10.0,3.0,144186.0,49042.857142857145
MCD-ZILN,60.68,10.0,3.0,145338.0,49434.69387755102
Oracle,72.2,10.0,3.0,172986.0,58838.77551020408
Random,10.0,10.0,5.0,23510.0,4797.959183673469
Monetary,60.02,10.0,5.0,143558.00000000003,29297.551020408166
RFM Score,52.68,10.0,5.0,125942.0,25702.448979591838
XGBoost (Optuna),58.85,10.0,5.0,140750.0,28724.48979591837
LightGBM (Optuna),58.8,10.0,5.0,140630.0,28700.0
Hurdle (Proposed),60.96,10.0,5.0,145814.0,29757.959183673473
ZILN,60.2,10.0,5.0,143990.0,29385.714285714283
MCD-ZILN,60.68,10.0,5.0,145142.0,29620.81632653061
Oracle,72.2,10.0,5.0,172790.0,35263.26530612245
Random,10.0,20.0,1.0,47902.0,48879.59183673469
Monetary,60.02,20.0,1.0,287998.00000000006,293875.51020408166
RFM Score,52.68,20.0,1.0,252766.0,257924.48979591837
XGBoost (Optuna),58.85,20.0,1.0,282382.0,288144.89795918367
LightGBM (Optuna),58.8,20.0,1.0,282142.0,287900.0
Hurdle (Proposed),60.96,20.0,1.0,292510.0,298479.5918367347
ZILN,60.2,20.0,1.0,288862.0,294757.14285714284
MCD-ZILN,60.68,20.0,1.0,291166.0,297108.1632653061
Oracle,72.2,20.0,1.0,346462.0,353532.6530612245
Random,10.0,20.0,3.0,47706.0,16226.530612244898
Monetary,60.02,20.0,3.0,287802.00000000006,97891.8367346939
RFM Score,52.68,20.0,3.0,252570.0,85908.16326530612
XGBoost (Optuna),58.85,20.0,3.0,282186.0,95981.63265306123
LightGBM (Optuna),58.8,20.0,3.0,281946.0,95900.0
Hurdle (Proposed),60.96,20.0,3.0,292314.0,99426.5306122449
ZILN,60.2,20.0,3.0,288666.0,98185.71428571429
MCD-ZILN,60.68,20.0,3.0,290970.0,98969.38775510204
Oracle,72.2,20.0,3.0,346266.0,117777.55102040817
Random,10.0,20.0,5.0,47510.0,9695.918367346938
Monetary,60.02,20.0,5.0,287606.00000000006,58695.10204081633
RFM Score,52.68,20.0,5.0,252374.0,51504.897959183676
XGBoost (Optuna),58.85,20.0,5.0,281990.0,57548.97959183674
LightGBM (Optuna),58.8,20.0,5.0,281750.0,57500.0
Hurdle (Proposed),60.96,20.0,5.0,292118.0,59615.918367346945
ZILN,60.2,20.0,5.0,288470.0,58871.428571428565
MCD-ZILN,60.68,20.0,5.0,290774.0,59341.63265306122
Oracle,72.2,20.0,5.0,346070.0,70626.5306122449
Random,10.0,30.0,1.0,71902.0,73369.38775510204
Monetary,60.02,30.0,1.0,432046.00000000006,440863.2653061225
RFM Score,52.68,30.0,1.0,379198.0,386936.7346938775
XGBoost (Optuna),58.85,30.0,1.0,423622.0,432267.3469387755
LightGBM (Optuna),58.8,30.0,1.0,423262.0,431900.0
Hurdle (Proposed),60.96,30.0,1.0,438814.0,447769.38775510207
ZILN,60.2,30.0,1.0,433342.0,442185.7142857143
MCD-ZILN,60.68,30.0,1.0,436798.0,445712.24489795923
Oracle,72.2,30.0,1.0,519742.0,530348.9795918367
Random,10.0,30.0,3.0,71706.0,24389.795918367345
Monetary,60.02,30.0,3.0,431850.00000000006,146887.75510204083
RFM Score,52.68,30.0,3.0,379002.0,128912.24489795919
XGBoost (Optuna),58.85,30.0,3.0,423426.0,144022.44897959183
LightGBM (Optuna),58.8,30.0,3.0,423066.0,143900.0
Hurdle (Proposed),60.96,30.0,3.0,438618.0,149189.79591836734
ZILN,60.2,30.0,3.0,433146.0,147328.57142857142
MCD-ZILN,60.68,30.0,3.0,436602.0,148504.08163265305
Oracle,72.2,30.0,3.0,519546.0,176716.32653061225
Random,10.0,30.0,5.0,71510.0,14593.87755102041
Monetary,60.02,30.0,5.0,431654.00000000006,88092.6530612245
RFM Score,52.68,30.0,5.0,378806.0,77307.34693877552
XGBoost (Optuna),58.85,30.0,5.0,423230.0,86373.4693877551
LightGBM (Optuna),58.8,30.0,5.0,422870.0,86300.0
Hurdle (Proposed),60.96,30.0,5.0,438422.0,89473.8775510204
ZILN,60.2,30.0,5.0,432950.0,88357.14285714286
MCD-ZILN,60.68,30.0,5.0,436406.0,89062.44897959183
Oracle,72.2,30.0,5.0,519350.0,105989.79591836735
